n_side,dimension,rtol,backend,baseline,n_pairs,paired_ratio_median,paired_ratio_q1,paired_ratio_q3,paired_ratio_iqr
64,4096,1e-07,leja,kiops,12,1.3176269019879334,1.3089184670447815,1.332387541373613,0.023469074328831496
64,4096,1e-07,hybrid,kiops,12,1.1161688560508203,1.10362152058334,1.122712202005197,0.019090681421856992
64,4096,1e-07,auto,kiops,12,1.3504005578086202,1.3478892671785019,1.3642904353771745,0.016401168198672655
64,4096,1e-05,leja,kiops,12,1.3460930675713425,1.333895860815304,1.3587191046923828,0.024823243877078793
64,4096,1e-05,hybrid,kiops,12,1.1534727341192754,1.1439223185538585,1.1742409488836936,0.03031863032983506
64,4096,1e-05,auto,kiops,12,1.3911539939071693,1.3780322927437363,1.4011107254321937,0.02307843268845744
128,16384,1e-07,leja,kiops,12,1.131516821983539,1.1279781573965781,1.1374488976485686,0.009470740251990462
128,16384,1e-07,hybrid,kiops,12,1.082961076501245,1.0802405969546625,1.0847574191547207,0.004516822200058224
128,16384,1e-07,auto,kiops,12,1.1476378633120135,1.1423752293867504,1.155195903982393,0.012820674595642512
128,16384,1e-05,leja,kiops,12,1.1603281571331499,1.1530685469406627,1.1672477467639415,0.014179199823278754
128,16384,1e-05,hybrid,kiops,12,1.1498158206703346,1.145621076924276,1.1579135743088553,0.01229249738457927
128,16384,1e-05,auto,kiops,12,1.1771928580637563,1.1734609579052868,1.1900165971233883,0.016555639218101437
256,65536,1e-07,leja,kiops,12,1.4354604244678808,1.4250636941803896,1.4444444558469447,0.019380761666555113
256,65536,1e-07,hybrid,kiops,12,1.2794020921399714,1.270319994808625,1.2865045905441137,0.016184595735488694
256,65536,1e-07,auto,kiops,12,1.4473473491244475,1.4400688154884178,1.4540744736892393,0.014005658200821447
256,65536,1e-05,leja,kiops,12,1.4275149423019204,1.423411879399774,1.4380727964009412,0.014660917001167117
256,65536,1e-05,hybrid,kiops,12,1.4397133052536697,1.4232571137864198,1.4468017697896185,0.02354465600319866
256,65536,1e-05,auto,kiops,12,1.4396916735822856,1.4314728527460068,1.4469228560866252,0.015450003340618412
